prompt,output,expert_type
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
What is the largest ocean?,The Pacific Ocean is the largest ocean.,general
When did World War II end?,World War II ended in 1945.,general
What does CPU stand for?,CPU stands for Central Processing Unit.,general
Who invented the telephone?,Alexander Graham Bell invented the telephone.,general
What is the capital of France?,The capital of France is Paris.,general
